,Date,Dollar in PKR,high ex rate in PKR,low ex rate in PKR,change in ex rate (PKR) %,Dollar in INR,high ex rate in INR,low ex rate in INR,change in ex rate (INR) %
0,12/31/2023,280.97,283.85,281.125,-0.51%,83.103,83.359,83.067,-0.10%
1,12/24/2023,282.42,286.25,282.25,-0.20%,83.19,83.368,83.099,0.03%
2,12/17/2023,283.0,284.5,279.5,-0.22%,83.166,83.291,82.91,0.18%
3,12/10/2023,283.62,285.365,280.25,-0.47%,83.02,83.451,82.927,-0.49%
4,12/03/2023,284.96,286.125,281.25,-0.01%,83.425,83.465,83.215,0.20%
5,11/26/2023,285.0,288.38,280.4,-0.86%,83.26,83.433,83.24,-0.10%
6,11/19/2023,287.46,288.63,282.75,0.05%,83.34,83.424,83.225,0.12%
7,11/12/2023,287.31,288.1,281.375,1.17%,83.244,83.343,82.906,-0.08%
8,11/05/2023,284.0,284.5,274.15,1.54%,83.309,83.499,83.085,0.20%
9,10/29/2023,279.7,281.0,275.3,0.69%,83.14,83.337,83.134,-0.15%
10,10/22/2023,277.77,280.165,271.88,0.21%,83.265,83.301,82.956,0.14%
11,10/15/2023,277.2,283.865,273.85,-2.11%,83.15,83.31,83.012,-0.13%
12,10/08/2023,283.17,288.75,278.93,-1.78%,83.255,83.348,83.11,0.17%
13,10/01/2023,288.3,293.375,284.0,0.72%,83.118,83.346,83.118,0.11%
14,09/24/2023,286.25,297.25,287.88,-3.42%,83.03,83.316,83.012,0.07%
15,09/17/2023,296.4,302.75,293.25,-3.36%,82.97,83.36,82.769,-0.12%
16,09/10/2023,306.69,307.89,300.75,0.39%,83.069,83.202,82.815,0.08%
17,09/03/2023,305.5,306.515,298.13,1.43%,83.004,83.271,82.65,0.38%
18,08/27/2023,301.2,303.1,292.4,1.67%,82.689,82.842,82.527,0.06%
19,08/20/2023,296.25,297.14,284.75,2.97%,82.637,83.217,82.359,-0.61%
20,08/13/2023,287.71,288.875,283.25,1.08%,83.14,83.467,82.895,0.29%
21,08/06/2023,284.64,289.175,282.75,-0.60%,82.898,82.984,82.589,0.24%
22,07/30/2023,286.35,289.125,282.0,0.43%,82.696,82.892,82.225,0.54%
23,07/23/2023,285.12,286.875,274.13,2.93%,82.253,82.377,81.69,0.32%
24,07/16/2023,277.0,281.0,268.75,-0.25%,81.99,82.215,81.897,-0.11%
25,07/09/2023,277.7,286.925,271.0,-2.90%,82.077,82.712,81.943,-0.65%
26,07/02/2023,286.0,287.25,281.5,0.00%,82.615,82.815,81.755,0.63%
27,06/25/2023,286.0,287.75,283.1,-0.35%,82.096,82.128,81.92,0.14%
28,06/18/2023,287.0,288.625,283.34,0.17%,81.985,82.172,81.867,0.09%
29,06/11/2023,286.5,287.75,282.1,0.53%,81.915,82.497,81.825,-0.64%
30,06/04/2023,285.0,286.375,281.58,0.16%,82.445,82.685,82.394,0.05%
31,05/28/2023,284.55,288.125,281.13,-0.26%,82.403,82.793,82.257,-0.21%
32,05/21/2023,285.3,286.75,281.08,0.12%,82.575,82.895,82.522,-0.40%
33,05/14/2023,284.97,298.625,280.05,0.55%,82.905,82.953,82.18,0.86%
34,05/07/2023,283.4,284.3,279.88,0.05%,82.201,82.252,81.672,0.58%
35,04/30/2023,283.25,284.375,279.75,0.09%,81.725,81.97,81.67,-0.02%
36,04/23/2023,283.0,285.5,279.75,-0.35%,81.745,82.132,81.601,-0.38%
37,04/16/2023,284.0,289.625,280.5,0.18%,82.055,82.364,81.864,0.26%
38,04/09/2023,283.5,289.155,279.5,0.03%,81.845,82.17,81.567,-0.05%
39,04/02/2023,283.41,284.7,279.63,0.44%,81.885,82.497,81.785,-0.37%
40,03/26/2023,282.16,284.625,278.25,0.23%,82.185,82.45,82.034,-0.19%
41,03/19/2023,281.5,283.375,277.25,0.52%,82.339,82.724,82.032,-0.24%
42,03/12/2023,280.05,284.0,272.5,1.65%,82.54,82.912,81.692,0.70%
43,03/05/2023,275.5,284.0,257.75,6.08%,81.965,82.3,81.595,0.31%
44,02/26/2023,259.7,264.25,257.95,-0.97%,81.71,82.978,81.71,-1.47%
45,02/19/2023,262.24,270.25,260.5,-2.60%,82.925,83.027,82.562,0.19%
46,02/12/2023,269.25,276.5,266.5,-1.90%,82.765,83.034,82.566,0.30%
47,02/05/2023,274.46,275.5,259.995,4.52%,82.52,82.888,82.32,0.35%
48,01/29/2023,262.6,263.05,229.15,14.30%,82.233,82.338,81.458,0.88%
49,01/22/2023,229.75,230.175,228.425,0.50%,81.515,81.78,80.864,0.66%
50,01/15/2023,228.6,228.925,227.35,0.51%,80.984,81.893,80.961,-0.37%
51,01/08/2023,227.45,228.235,226.45,0.57%,81.285,82.447,81.105,-1.20%
52,01/01/2023,226.15,226.865,225.475,0.18%,82.275,83.016,82.275,-0.57%
53,12/25/2022,225.75,226.385,224.675,0.56%,82.745,82.956,82.54,-0.05%
54,12/18/2022,224.5,225.225,224.0,0.00%,82.79,82.971,82.552,0.07%
55,12/11/2022,224.5,224.8,223.375,0.38%,82.733,82.993,82.38,0.38%
56,12/04/2022,223.65,224.825,223.25,-0.27%,82.42,82.775,81.19,1.21%
57,11/27/2022,224.25,224.65,222.375,0.34%,81.438,81.86,81.008,-0.34%
58,11/20/2022,223.5,224.26,221.325,1.08%,81.713,81.95,81.445,0.08%
59,11/13/2022,221.11,222.125,221.25,0.05%,81.644,81.856,80.528,1.41%
60,11/06/2022,221.0,222.25,220.0,0.00%,80.505,82.347,80.483,-1.80%
61,10/30/2022,221.0,222.125,219.075,0.14%,81.982,82.989,81.978,-0.35%
62,10/23/2022,220.7,221.16,218.3,0.78%,82.268,82.871,81.946,-0.33%
63,10/16/2022,219.0,221.9,216.5,-1.08%,82.541,83.275,82.011,0.21%
64,10/09/2022,221.4,229.5,219.475,-2.75%,82.367,82.722,82.111,-0.56%
65,10/02/2022,227.65,239.75,227.25,-4.91%,82.832,82.832,81.278,1.61%
66,09/25/2022,239.4,239.9,236.75,0.48%,81.522,82.017,81.154,0.33%
67,09/18/2022,238.25,239.125,228.125,3.70%,81.255,81.271,79.574,1.95%
68,09/11/2022,229.75,229.875,218.25,5.00%,79.698,79.87,79.011,0.05%
69,09/04/2022,218.8,222.76,216.25,-0.68%,79.655,79.977,79.454,-0.08%
70,08/28/2022,220.3,220.75,214.5,2.70%,79.722,80.135,79.278,-0.31%
71,08/21/2022,214.5,215.75,211.25,-2.19%,79.971,80.004,79.675,0.06%
72,08/14/2022,219.3,224.45,214.25,-2.05%,79.925,79.925,79.143,0.34%
73,08/07/2022,223.88,240.425,221.25,-6.58%,79.651,79.755,79.011,0.36%
74,07/31/2022,239.66,240.425,227.75,5.11%,79.365,79.818,78.385,0.02%
75,07/24/2022,228.0,229.125,209.75,8.21%,79.351,79.989,79.175,-0.62%
76,07/17/2022,210.7,210.875,207.305,1.76%,79.845,80.08,79.702,0.08%
77,07/10/2022,207.06,208.375,204.0,1.25%,79.785,80.235,79.275,0.62%
78,07/03/2022,204.5,207.875,203.55,-1.68%,79.29,79.44,78.871,0.42%
79,06/26/2022,208.0,212.27,205.85,-0.24%,78.956,79.159,78.204,0.90%
80,06/19/2022,208.5,209.385,201.375,3.42%,78.255,78.415,77.876,0.39%
81,06/12/2022,201.6,203.25,197.45,2.13%,77.952,78.323,77.905,-0.25%
82,06/05/2022,197.4,199.875,197.15,-1.18%,78.144,78.208,77.565,0.68%
83,05/29/2022,199.75,202.645,199.18,-0.17%,77.615,77.745,77.383,-0.01%
84,05/22/2022,200.1,201.255,192.15,3.81%,77.624,77.738,77.445,-0.31%
85,05/15/2022,192.75,193.51,185.85,3.55%,77.865,77.903,77.367,0.50%
86,05/08/2022,186.15,186.545,185.25,0.40%,77.48,77.64,76.982,0.65%
87,05/01/2022,185.4,187.665,184.95,-0.97%,76.979,77.079,76.007,0.58%
88,04/24/2022,187.21,187.76,181.2,3.43%,76.535,76.804,76.264,0.08%
89,04/17/2022,181.0,184.6,180.75,-1.63%,76.475,76.56,76.073,0.19%
90,04/10/2022,184.0,189.025,183.55,0.05%,76.332,76.365,75.805,0.49%
91,04/03/2022,183.9,184.61,181.55,1.21%,75.96,76.077,75.26,-0.05%
92,03/27/2022,181.7,182.235,180.25,0.66%,75.995,76.402,75.561,-0.38%
93,03/20/2022,180.5,180.775,177.315,1.21%,76.285,76.525,75.973,0.29%
94,03/13/2022,178.35,179.285,177.15,0.62%,76.065,76.715,75.745,-0.58%
95,03/06/2022,177.25,178.385,176.125,0.25%,76.511,77.186,76.078,0.11%
96,02/27/2022,176.8,177.56,175.25,1.03%,76.425,76.438,75.27,1.80%
97,02/20/2022,175.0,176.41,174.275,0.29%,75.075,75.835,74.341,0.52%
98,02/13/2022,174.5,175.325,174.075,0.21%,74.687,75.738,74.469,-0.88%
99,02/06/2022,174.13,177.085,173.75,-1.34%,75.348,75.53,74.599,0.94%
100,01/30/2022,176.5,179.055,175.875,0.28%,74.645,75.055,74.41,-0.53%
101,01/23/2022,176.0,176.685,175.72,0.14%,75.046,75.32,74.293,0.86%
102,01/16/2022,175.75,176.86,175.725,-0.45%,74.409,74.747,74.147,0.34%
103,01/09/2022,176.55,177.95,176.025,0.43%,74.156,74.235,73.745,-0.16%
104,01/02/2022,175.8,178.66,176.03,-1.37%,74.278,74.71,74.246,-0.28%
105,12/26/2021,178.25,178.66,177.575,0.08%,74.486,75.189,74.106,-0.69%
106,12/19/2021,178.1,178.325,177.25,0.34%,75.004,76.207,74.998,-1.33%
107,12/12/2021,177.5,178.25,174.95,0.65%,76.013,76.435,75.593,0.39%
108,12/05/2021,176.35,177.05,174.6,0.60%,75.718,75.885,75.202,0.63%
109,11/28/2021,175.3,176.735,171.3,0.33%,75.241,75.349,74.797,0.23%
110,11/21/2021,174.73,175.76,173.0,-0.30%,75.065,75.105,74.306,0.96%
111,11/14/2021,175.25,175.775,169.74,3.33%,74.35,74.547,74.027,0.00%
112,11/07/2021,169.6,172.045,169.19,-1.14%,74.347,74.595,73.834,0.21%
113,10/31/2021,171.55,175.535,170.865,-1.38%,74.191,75.057,74.171,-0.99%
114,10/24/2021,173.95,174.56,170.5,1.85%,74.935,75.197,74.755,-0.09%
115,10/17/2021,170.79,171.375,169.95,0.32%,74.999,75.394,74.672,-0.04%
116,10/10/2021,170.25,171.215,169.7,0.29%,75.03,75.682,74.882,-0.13%
117,10/03/2021,169.75,171.08,168.725,0.50%,75.131,75.197,74.135,1.32%
118,09/26/2021,168.9,169.555,167.675,0.86%,74.15,74.389,73.625,0.45%
119,09/19/2021,167.46,169.69,166.8,-0.26%,73.821,73.938,73.558,0.24%
120,09/12/2021,167.9,168.23,165.625,0.84%,73.645,73.787,73.335,0.16%
121,09/05/2021,166.5,167.33,165.18,0.48%,73.524,73.879,72.972,0.72%
122,08/29/2021,165.7,166.865,163.75,1.01%,72.997,73.565,72.918,-0.65%
123,08/22/2021,164.05,164.58,163.515,0.49%,73.475,74.311,73.454,-1.18%
124,08/15/2021,163.25,164.58,162.95,0.09%,74.352,74.483,74.118,0.15%
125,08/08/2021,163.1,164.63,161.375,0.83%,74.242,74.507,74.101,0.00%
126,08/01/2021,161.75,162.73,159.8,0.18%,74.242,74.432,74.041,-0.14%
127,07/25/2021,161.46,162.43,159.35,1.55%,74.344,74.547,74.222,-0.11%
128,07/18/2021,159.0,160.11,158.45,0.03%,74.427,75.028,74.303,-0.25%
129,07/11/2021,158.95,159.82,157.5,0.92%,74.61,74.674,74.4,0.17%
130,07/04/2021,157.5,159.125,156.8,0.03%,74.487,74.867,74.236,-0.04%
131,06/27/2021,157.45,158.725,156.55,1.16%,74.518,74.887,74.16,0.40%
132,06/20/2021,155.65,157.565,155.575,0.52%,74.22,74.418,74.051,0.13%
133,06/13/2021,154.85,156.15,154.375,0.36%,74.12,74.301,73.117,1.19%
134,06/06/2021,154.3,155.485,153.375,0.00%,73.245,73.262,72.743,0.51%
135,05/30/2021,154.3,155.59,152.7,1.03%,72.87,73.333,72.35,0.64%
136,05/23/2021,152.72,153.665,152.115,0.34%,72.41,72.988,72.32,-0.57%
137,05/16/2021,152.2,154.05,151.725,0.34%,72.827,73.34,72.76,-0.65%
138,05/09/2021,151.68,154.05,151.525,-0.70%,73.3,73.662,73.189,0.06%
139,05/02/2021,152.75,155.19,152.875,-0.28%,73.254,74.327,73.248,-1.08%
140,04/25/2021,153.18,154.0,152.49,0.45%,74.055,74.919,73.945,-1.17%
141,04/18/2021,152.5,153.565,151.82,0.20%,74.93,75.571,74.515,0.52%
142,04/11/2021,152.19,153.84,151.95,-0.49%,74.54,75.547,74.292,-0.26%
143,04/04/2021,152.94,155.1,151.2,-1.23%,74.734,74.987,73.218,1.84%
144,03/28/2021,154.85,156.25,154.15,-0.51%,73.385,73.638,72.488,1.06%
145,03/21/2021,155.65,157.275,154.83,-0.73%,72.615,72.728,72.268,0.28%
146,03/14/2021,156.8,157.505,156.54,0.27%,72.413,72.796,72.326,-0.38%
147,03/07/2021,156.38,159.275,156.64,-1.24%,72.69,73.409,72.58,-0.68%
148,02/28/2021,158.35,159.575,157.52,-0.25%,73.19,73.79,72.602,-1.01%
149,02/21/2021,158.75,160.24,158.39,0.16%,73.937,74.072,72.275,1.90%
150,02/14/2021,158.5,160.59,158.435,-0.63%,72.56,72.971,72.417,-0.05%
151,02/07/2021,159.5,160.565,159.515,-0.06%,72.595,73.014,72.565,-0.30%
152,01/31/2021,159.6,160.935,159.64,-0.47%,72.815,73.195,72.77,-0.12%
153,01/24/2021,160.35,162.63,157.63,0.16%,72.906,73.21,72.81,-0.11%
154,01/17/2021,160.1,160.82,159.705,0.13%,72.985,73.325,72.883,-0.20%
155,01/10/2021,159.9,160.825,159.6,0.09%,73.13,73.591,72.922,-0.29%
156,01/03/2021,159.75,164.125,159.25,0.04%,73.34,73.495,72.827,0.29%
157,12/27/2020,159.68,160.985,159.805,-0.01%,73.125,73.612,72.942,-0.59%
158,12/20/2020,159.7,160.785,159.535,-0.09%,73.558,74.105,73.504,-0.02%
159,12/13/2020,159.85,160.695,159.655,0.03%,73.575,73.741,73.367,-0.22%
160,12/06/2020,159.8,162.73,159.025,0.66%,73.738,73.977,73.502,-0.05%
161,11/29/2020,158.75,161.26,158.51,-0.86%,73.776,74.028,73.41,-0.22%
162,11/22/2020,160.13,161.0,157.655,1.35%,73.935,74.271,73.712,-0.25%
163,11/15/2020,158.0,160.75,157.71,-0.63%,74.12,74.64,74.062,-0.62%
164,11/08/2020,159.0,160.51,158.7,-0.63%,74.582,74.769,73.65,0.82%
165,11/01/2020,160.0,161.62,159.82,-0.71%,73.976,74.997,73.842,-0.79%
166,10/25/2020,161.15,162.84,160.7,-0.62%,74.567,74.716,73.606,0.98%
167,10/18/2020,162.15,164.055,161.86,-0.70%,73.842,73.899,73.284,0.54%
168,10/11/2020,163.3,165.75,163.325,-0.35%,73.444,73.52,73.015,0.58%
169,10/04/2020,163.87,167.75,164.07,-0.51%,73.02,73.615,72.966,-0.38%
170,09/27/2020,164.71,166.6,165.205,-0.84%,73.295,73.915,73.004,-0.53%
171,09/20/2020,166.1,166.83,165.405,0.50%,73.685,74.062,73.27,0.20%
172,09/13/2020,165.27,166.845,165.055,-0.26%,73.54,73.781,73.143,0.14%
173,09/06/2020,165.7,166.6,164.945,-0.46%,73.44,73.976,73.035,0.20%
174,08/30/2020,166.47,168.8,166.0,-0.79%,73.291,73.702,72.751,0.24%
175,08/23/2020,167.8,168.695,167.375,0.33%,73.115,74.922,73.115,-2.41%
176,08/16/2020,167.25,168.78,165.875,-0.17%,74.922,75.131,74.571,0.03%
177,08/09/2020,167.53,168.755,165.875,0.15%,74.903,75.052,74.55,-0.16%
178,08/02/2020,167.28,167.75,165.75,-0.07%,75.025,75.32,74.759,0.14%
179,07/26/2020,167.4,168.75,166.65,0.42%,74.918,74.955,74.662,0.21%
180,07/19/2020,166.7,167.78,165.875,0.62%,74.76,75.035,74.51,-0.18%
181,07/12/2020,165.67,167.615,165.75,-0.44%,74.898,75.542,74.898,-0.39%
182,07/05/2020,166.4,168.475,166.125,-0.42%,75.195,75.333,74.485,0.75%
183,06/28/2020,167.1,168.325,165.83,0.33%,74.636,75.652,74.567,-1.30%
184,06/21/2020,166.55,167.4,163.625,1.40%,75.62,76.303,75.435,-0.84%
185,06/14/2020,164.25,165.3,162.7,0.74%,76.26,76.4,75.78,0.28%
186,06/07/2020,163.05,166.05,162.375,0.65%,76.05,76.26,75.401,0.65%
187,05/31/2020,162.0,163.575,160.355,1.09%,75.56,75.77,74.962,-0.06%
188,05/24/2020,160.25,161.49,156.2,0.38%,75.605,76.122,75.4,-0.45%
189,05/17/2020,159.65,161.535,158.545,0.69%,75.95,76.07,75.386,0.16%
190,05/10/2020,158.56,163.45,156.2,-0.90%,75.83,75.978,75.034,0.39%
191,05/03/2020,160.0,162.055,159.675,0.09%,75.535,76.168,75.285,-0.28%
192,04/26/2020,159.86,167.025,159.0,-3.27%,75.749,76.448,74.91,-0.68%
193,04/19/2020,165.26,167.95,163.025,-0.48%,76.27,77.018,75.825,-0.37%
194,04/12/2020,166.05,168.0,165.745,-0.27%,76.55,76.922,75.887,0.88%
195,04/05/2020,166.5,167.425,164.99,1.45%,75.879,76.559,75.528,-0.47%
196,03/29/2020,164.12,168.425,158.15,3.74%,76.24,76.43,75.077,1.02%
197,03/22/2020,158.2,159.475,156.4,0.86%,75.472,76.379,74.353,0.10%
198,03/15/2020,156.85,159.665,153.92,1.75%,75.399,75.399,73.859,2.11%
199,03/08/2020,154.15,154.805,153.925,0.33%,73.84,74.576,73.531,-0.22%
200,03/01/2020,153.65,154.87,153.735,-0.16%,74.004,74.073,72.027,2.02%
201,02/23/2020,153.9,154.82,153.72,0.05%,72.539,72.574,71.534,0.92%
202,02/16/2020,153.83,155.25,153.795,-0.19%,71.88,72.056,71.25,0.49%
203,02/09/2020,154.12,154.96,153.905,0.08%,71.529,71.597,71.175,0.02%
204,02/02/2020,154.0,155.255,153.97,-0.08%,71.515,71.665,71.1,-0.06%
205,01/26/2020,154.13,155.025,154.165,-0.09%,71.555,71.665,71.17,0.32%
206,01/19/2020,154.27,155.345,154.07,-0.14%,71.33,71.465,71.01,0.35%
207,01/12/2020,154.49,155.515,154.35,0.03%,71.079,71.099,70.675,0.17%
208,01/05/2020,154.45,155.245,154.41,0.06%,70.96,72.13,70.848,-1.13%
209,12/29/2019,154.35,155.59,154.21,0.06%,71.77,71.844,71.23,0.44%
210,12/22/2019,154.25,155.49,154.205,0.18%,71.455,71.505,71.115,0.56%
211,12/15/2019,153.98,156.755,154.12,0.03%,71.06,71.256,70.76,0.37%
212,12/08/2019,153.93,156.755,154.375,-0.79%,70.798,71.293,70.503,-0.68%
213,12/01/2019,155.15,156.755,154.82,-0.16%,71.283,71.835,71.17,-0.65%
214,11/24/2019,155.4,156.93,154.99,0.40%,71.749,71.872,71.226,-0.06%
215,11/17/2019,154.78,156.99,154.86,-0.40%,71.792,72.011,71.566,0.20%
216,11/10/2019,155.4,156.975,155.075,0.61%,71.65,72.25,71.29,0.41%
217,11/03/2019,154.46,157.5,154.74,-0.53%,71.36,71.364,70.56,0.85%
218,10/27/2019,155.28,156.99,155.175,-0.30%,70.76,71.065,70.681,-0.08%
219,10/20/2019,155.75,156.925,155.425,-0.06%,70.82,71.09,70.72,-0.38%
220,10/13/2019,155.85,157.32,155.675,-0.38%,71.09,71.73,70.74,0.23%
221,10/06/2019,156.45,157.075,155.49,0.16%,70.924,71.234,70.799,0.14%
222,09/29/2019,156.2,156.935,155.45,0.26%,70.825,71.365,70.358,0.45%
223,09/22/2019,155.8,161.0,155.4,-0.50%,70.509,71.154,70.364,-0.80%
224,09/15/2019,156.58,160.88,155.45,0.37%,71.075,71.987,70.685,0.13%
225,09/08/2019,156.0,160.88,155.55,-0.32%,70.985,72.012,70.847,-0.92%
226,09/01/2019,156.5,160.88,156.4,-1.88%,71.645,72.418,71.465,0.27%
227,08/25/2019,159.5,160.895,156.43,0.47%,71.453,72.257,71.357,-0.08%
228,08/18/2019,158.75,160.96,157.5,0.79%,71.513,72.061,71.07,0.50%
229,08/11/2019,157.5,160.665,156.95,-0.71%,71.155,71.817,70.845,0.33%
230,08/04/2019,158.62,161.28,156.28,-0.86%,70.924,71.198,70.118,1.76%
231,07/28/2019,160.0,161.39,156.28,0.06%,69.7,69.7,68.657,1.19%
232,07/21/2019,159.9,160.525,156.28,1.04%,68.88,69.151,68.816,0.03%
233,07/14/2019,158.25,164.0,155.73,0.16%,68.86,69.01,68.482,0.44%
234,07/07/2019,158.0,164.5,152.015,-2.77%,68.56,68.853,68.28,0.16%
235,06/30/2019,162.5,164.375,152.015,4.00%,68.45,69.095,68.385,-0.73%
236,06/23/2019,156.25,157.75,151.94,0.70%,68.95,69.62,68.866,-0.96%
237,06/16/2019,155.16,156.18,148.375,4.84%,69.615,69.977,69.329,-0.31%
238,06/09/2019,148.0,151.3,146.775,0.95%,69.833,69.865,69.272,0.69%
239,06/02/2019,146.6,151.82,146.49,-2.59%,69.355,69.621,69.035,-0.32%
240,05/26/2019,150.5,152.535,143.93,1.48%,69.58,70.008,69.355,0.29%
241,05/19/2019,148.3,148.655,140.56,4.99%,69.38,70.07,69.363,-1.28%
242,05/12/2019,141.25,141.99,140.7,0.25%,70.28,70.644,69.958,0.38%
243,05/05/2019,140.9,141.755,140.875,-0.28%,70.015,70.282,69.286,1.33%
244,04/28/2019,141.3,142.26,140.95,-0.04%,69.095,69.918,69.095,-1.08%
245,04/21/2019,141.35,141.985,140.73,0.21%,69.85,70.335,69.366,0.64%
246,04/14/2019,141.05,142.385,138.95,0.11%,69.407,69.685,69.035,0.31%
247,04/07/2019,140.9,141.86,138.45,0.21%,69.19,69.74,68.837,0.03%
248,03/31/2019,140.6,140.86,139.08,1.22%,69.17,69.419,68.39,-0.02%
249,03/24/2019,138.9,140.585,138.4,-0.68%,69.185,69.36,68.772,0.02%
250,03/17/2019,139.85,140.48,137.5,0.07%,69.17,69.175,68.355,0.30%
251,03/10/2019,139.75,140.32,137.6,1.08%,68.963,70.055,68.935,-1.50%
252,03/03/2019,138.25,140.085,136.65,-1.06%,70.012,70.988,69.827,-1.39%
253,02/24/2019,139.725,140.335,137.53,1.07%,71.0,71.491,70.713,-0.05%
254,02/17/2019,138.25,139.96,137.7,-0.97%,71.035,71.607,70.925,-0.41%
255,02/10/2019,139.6,139.815,137.18,0.05%,71.33,71.464,70.402,0.22%
256,02/03/2019,139.525,139.94,137.0,-0.25%,71.175,71.85,71.015,-0.36%
257,01/27/2019,139.875,140.125,137.5,0.00%,71.435,71.485,70.87,0.75%
258,01/20/2019,139.88,140.41,134.72,0.00%,70.9,71.537,70.89,-0.44%
259,01/13/2019,139.875,140.405,137.55,0.02%,71.21,71.422,70.36,1.15%
260,01/06/2019,139.85,139.96,134.62,-0.04%,70.399,70.661,69.25,1.22%
261,12/30/2018,139.9,139.98,137.35,1.16%,69.55,70.531,69.44,-0.55%
262,12/23/2018,138.3,139.92,137.45,-0.14%,69.933,70.404,69.762,-0.30%
263,12/16/2018,138.5,139.93,133.95,0.04%,70.14,71.9,69.648,-2.47%
264,12/09/2018,138.45,139.885,133.95,-0.32%,71.92,72.637,71.24,1.50%
265,12/02/2018,138.9,141.5,132.745,3.77%,70.86,71.15,69.88,1.74%
266,11/25/2018,133.85,134.525,132.65,-0.02%,69.65,71.035,69.57,-1.42%
267,11/18/2018,133.88,134.53,131.5,-0.09%,70.655,72.082,70.655,-1.84%
268,11/11/2018,134.0,134.455,131.5,0.24%,71.98,73.067,71.715,-0.69%
269,11/04/2018,133.68,134.15,130.83,0.13%,72.48,73.135,72.375,0.06%
270,10/28/2018,133.5,134.455,130.84,1.45%,72.44,74.135,72.43,-1.39%
271,10/21/2018,131.59,134.155,128.135,-0.45%,73.46,73.828,73.095,0.12%
272,10/14/2018,132.19,133.97,123.17,7.47%,73.375,74.065,73.295,-0.32%
273,10/07/2018,123.0,124.385,123.045,0.24%,73.61,74.49,73.53,-0.22%
274,09/30/2018,122.71,124.56,123.02,0.38%,73.77,74.25,72.605,1.74%
275,09/23/2018,122.24,124.265,121.695,-0.64%,72.51,72.965,72.34,0.37%
276,09/16/2018,123.03,124.295,121.695,0.30%,72.24,72.99,71.76,0.50%
277,09/09/2018,122.66,124.28,121.445,-0.26%,71.88,72.92,71.535,0.13%
278,09/02/2018,122.985,124.28,121.695,0.48%,71.79,72.105,70.73,1.11%
279,08/26/2018,122.4,124.295,121.65,-0.41%,71.005,71.025,69.705,1.48%
280,08/19/2018,122.9,124.32,121.65,-0.19%,69.97,70.24,69.535,-0.19%
281,08/12/2018,123.14,124.52,121.695,-0.02%,70.1,70.42,69.41,1.76%
282,08/05/2018,123.17,129.05,120.1,-3.59%,68.89,69.025,68.455,0.50%
283,07/29/2018,127.75,129.435,127.12,-0.51%,68.545,68.845,68.265,-0.09%
284,07/22/2018,128.4,129.205,121.75,6.17%,68.605,69.088,68.535,-0.20%
285,07/15/2018,120.94,122.145,120.865,-0.42%,68.74,69.132,68.28,0.35%
286,07/08/2018,121.45,122.06,120.845,-0.02%,68.5,68.9,68.335,-0.44%
287,07/01/2018,121.47,122.01,120.385,0.14%,68.805,69.03,68.335,0.50%
288,06/24/2018,121.3,122.08,119.35,1.85%,68.46,69.1,67.91,0.87%
289,06/17/2018,119.1,120.09,115.185,3.06%,67.87,68.39,67.715,-0.28%
290,06/10/2018,115.56,116.19,114.995,-0.01%,68.06,68.065,67.275,0.78%
291,06/03/2018,115.57,116.2,114.995,0.15%,67.53,67.795,66.84,0.80%
292,05/27/2018,115.4,116.215,114.995,-0.14%,66.995,67.99,66.995,-1.09%
293,05/20/2018,115.56,116.325,115.035,0.00%,67.73,68.485,67.718,-0.38%
294,05/13/2018,115.56,116.075,114.99,0.01%,67.99,68.143,67.215,0.94%
295,05/06/2018,115.55,116.075,114.645,0.00%,67.36,67.477,66.785,0.81%
296,04/29/2018,115.55,116.2,114.99,0.00%,66.82,66.92,66.35,0.30%
297,04/22/2018,115.55,116.205,114.99,0.00%,66.62,66.98,66.15,0.62%
298,04/15/2018,115.55,116.075,114.955,-0.01%,66.21,66.21,65.32,1.46%
299,04/08/2018,115.56,116.05,114.845,0.12%,65.255,65.445,64.85,0.50%
300,04/01/2018,115.42,115.955,114.69,0.19%,64.93,65.185,64.89,-0.28%
301,03/25/2018,115.2,116.2,110.125,4.23%,65.115,65.295,64.727,0.19%
302,03/18/2018,110.52,111.045,110.1,0.05%,64.99,65.25,64.982,0.00%
303,03/11/2018,110.47,111.125,110.1,0.00%,64.99,65.075,64.81,-0.21%
304,03/04/2018,110.47,111.055,110.12,0.02%,65.125,65.195,64.855,-0.15%
305,02/25/2018,110.45,111.045,110.01,0.05%,65.22,65.32,64.63,0.79%
306,02/18/2018,110.4,111.045,110.11,0.09%,64.71,65.11,64.42,0.77%
307,02/11/2018,110.3,111.045,110.06,-0.15%,64.215,64.345,63.815,-0.25%
308,02/04/2018,110.47,111.245,110.085,0.06%,64.375,64.438,64.005,0.38%
309,01/28/2018,110.4,111.04,110.08,0.00%,64.13,64.2,63.49,0.85%
310,01/21/2018,110.4,111.245,109.86,-0.05%,63.59,64.01,63.46,-0.38%
311,01/14/2018,110.45,111.16,109.57,0.05%,63.83,64.13,63.34,0.35%
312,01/07/2018,110.4,111.155,109.57,0.00%,63.61,63.855,63.25,0.43%
313,12/31/2017,110.4,111.18,109.895,0.00%,63.34,63.87,63.323,-0.78%
314,12/24/2017,110.4,111.14,109.295,0.59%,63.84,64.28,63.79,-0.28%
315,12/17/2017,109.75,110.295,106.05,3.78%,64.02,64.73,63.945,-0.09%
316,12/10/2017,105.75,106.05,105.25,0.49%,64.08,64.56,64.015,-0.62%
